product_id,sales,sold_in_distinct_parcels,in_distinct_dates_scanned,special_positive_rate_by_order,special_positive_rate_by_parcel,special_positive_rate_by_date,marked_has_battery_pct,marked_has_liquid_pct,marked_has_sensitive_pct,time,product_name,true_tag_ids,tags
59d7a2a09bdd7c685ed0a12b,9,8,8,55.6,62.5,62.5,0.0,0.0,55.6,1562025600,Womens Fashion Waterproof Seal Double Eyeliner Makeup Eyeliner Tattoo,"540e1ae10b6425323b42aa94,53dc186421a86318bdc87f2f","eyelinerpencil,makeup,eyelinerstamp,healthampbeauty,longlastingeyeliner,eyemakeup,halo,liquideyeliner,seal,cosmetic,waterproof,tattoo,fashion"
5c17a6a320720a42b6571a04,9,7,6,77.8,71.4,83.3,0.0,0.0,77.8,1562025600,Brand DNM Shimmer lipgloss Glitter Sparkling Moisturized Moisturizing Lipgloss Sparkle Crystal Lip Gloss Mermaid Pigment Polarized Liquid Lipstick Lip Plumper Makeup,53dc186421a86318bdc87f2b,"sparklinglipglos,crystal,makeup,beauty,crystallipglos,lipmakeup,glitter,liquidlipstick,mermaid,shimmerlipglos,sexylipglos,glos,cosmetic,lipglos,lip,glitterlipglos,lipstick,moisturizedlipglos,sparkle"
5c0a20d9e1738143e1801b27,9,7,7,77.8,85.7,85.7,22.2,0.0,55.6,1562025600,12 Constellation Coins Collection Plated Silver Souvenir Collection Vintage Exquisite Lucky Coins Collection Gift,5603422c6c54632b344751f5,"12constellation,gift,vintage,souvenircollection,collectibletoy,platedsilver,collectibleitem,collectible,constellation,coin,hobbie,collectiblecoin,jewelry,collectiongift"
5cf4f91ccc671027db52fe5b,9,7,5,100.0,100.0,100.0,0.0,0.0,100.0,1562025600,Classic Design Genuine Hero 6006 Luxury Dragon Clip Crystal Diamond Fountain Pen Business Executive Writing Metal Ink Pen Send Free Gift,54adab2358f1773d0f60caab,"crystal,signingpen,inkpen,gift,stationery,metal,businesspen,diamond,fountainpen,luxury,dragon,metalpen,writtingpen,fountain,classic,readingwriting,design,pen,jewelry,studentpen,bithdaygift"
5b27832062ecd16c154248d1,9,7,5,88.9,85.7,100.0,0.0,0.0,88.9,1562025600,10 Colors Professional Glitter Cosmetics  Waterproof Shimmer Pigment Silver Gold Metallic Liquid Glitters Makeup Eyeliner Liquid Eye shadow,"53dc186421a86318bdc87f2f,540e1ffb0b6425323b42aa96","liquideyeliner,beauty,silver,waterproof,makeuptoolsampaccessorie,waterproofeyeliner,eye,eyeshadowmakeup,makeup,metallic,glittereyeshadow,glitter,gold,cosmetic,eyemakeup,eyeshadow,eyeliner,jewelry"
5c94b4b93ee6e662a3c1e4aa,9,7,6,55.6,71.4,83.3,0.0,0.0,55.6,1562025600,17 Colors Matte Velvet Long Lasting Waterproof Liquid Lipstick,"5c82b6c76fa88c2ae4214d0d,53dc186421a86318bdc87f2b,546e82940d725226768b4125","beauty,waterproof,matte,velvet,liquidlipstick,lipglosse,healthbeauty,lipglos,sexy,lipstick"
5ba9d5d86d859a36c7248a1d,9,7,7,88.9,85.7,85.7,33.3,0.0,66.7,1562025600,Pudaier Sexy Color Changing Glitter Lipstick Liquid Metallic Lip Gloss Diamond Waterproof Pearl Lipgloss Women Lip Makeup Lápiz Labial Batom,53dc186421a86318bdc87f2b,"lipglos,makeuptoolsampaccessorie,metallic,glitter,cosmetic,sexy,lip,diamondlipstick,jewelry,pearl,makeup,beauty,glitterlipstick,lipmakeup,womensfashion,lipstick,liquidlipstick,glos,waterproof,mattelipstick,diamond,women"
5addbc408fdae42a4625526d,9,7,7,66.7,71.4,71.4,0.0,0.0,66.7,1562025600, Long Lasting Black Liquid Eyeliner Cosmetics Makeup Tool with Cute Stamp,53dc186421a86318bdc87f2f,"cute,liquideyeliner,liquid,eyeliner,womensfashion,starstamp,makeup,tool,longlasting,smilestamp,beauty,cosmetic,stamp,black,cutestamp,women"
5abb312b0548ea6ab22bc06e,9,7,7,88.9,85.7,85.7,0.0,0.0,88.9,1562025600,4Pcs Kawaii Cartoon Cloud Fridge Magnet Refrigerator Magnets Decoration Kids Toys Souvenir Magnetic Sticker,54932cd8f8a0b37ade06ad51,"refrigerator,cartoon,cloudfridgemagnet,kawaii,decoration,cloud,refrigeratorsticker,refrigeratormagnet,cute,magneticsticker,toy,fridgemagnet,sticker,fridge,fridgemagnetic,wallsticker,magnet,kid,cloudmagnet"
565c457355e4d04d0b8f9841,9,7,5,100.0,100.0,100.0,0.0,0.0,100.0,1562025600,Women Silicone Super Soft Massage Tool Relax Casual body for Female,547cb691f8a0b37176f4b851,"massager,metal,jellydildo,gold,dildosextoy,sexmachine,sexproduct,valentine,golden,rose,sextoy,24k,dildorealistic,beautiful,adultsextoy,crystaldildo"
5cb694a20384482bf6727658,9,7,6,66.7,71.4,66.7,11.1,0.0,55.6,1562025600,1000 Pcs/Pack Mixed Morel Mushroom Strains Geesteranus Delicious Organic Vegetables Seeds Bonsai Plants for Garden Home Decor,"5ab2e79c30b04a340b9a76b3,5c82b6c76fa88c2ae4214d13","home,mushroom,homedecor,morelseed,morelstrain,yard,homekitchen,garden,geesteranusseed,mushroomstrain,decor,homedcor,organicvegetable,mushroomseed,bonsai,homeliving"
5852098e2ac4b04d3e744e06,9,7,7,77.8,71.4,71.4,0.0,0.0,77.8,1562025600,8 Inch Cutting Pet Scissors Black Knight Professional Shears hair Black Hairdressing Barber Scissors Human & Dogs & Cats tools,579ba9bf314e0109cf19f275,"scissor,8inchscissor,petscissor,hair,cat,petproduct,doggroomingscissor,pet,black,tool"
5c41f10274f0282329615e01,9,6,3,77.8,66.7,100.0,77.8,0.0,55.6,1562025600,1 Pairs LED Shoelace Flash Luminous Light Up Glow Nylon Strap Shoe Laces Party Disco Running Outdoors ,"54c953ea601ef35d04fab37a,546fca8c8d922c63f7e26472,54c03595601ef364a44da70c","luminou,luminousshoelace,ledshoelace,running,light,lightup,shoe,disco,nylon,womensshoe,shoelace,glowshoe,party,led,glow"
5ba06113dc0eb2534e45891d,9,6,6,88.9,83.3,83.3,0.0,0.0,88.9,1562025600,On Sale Fortnite Battle Royale Accessories Arms Keychain Pendant Metal Alloy Toy Fortnite 18 Colors,5400cff32ee3455590ac8518,"fortnitebattleroyale,metal,arm,fortnitekeychain,keychain,toy,pendant,fortnite,accessorie,jewelry,alloytoy"
5c63ef00876ee02a7b2bb8bd,9,6,6,77.8,66.7,66.7,11.1,0.0,66.7,1562025600,Multicolor 3 Minute Hourglass Kids Toothbrush Timer Smiley Sand Egg Timer 3 Minute Timer,5528231f2297f11617ef46dd,"gametimer,sandtimerhourgla,minisandclock3minute,timertoy,egg,hourglas,funnel,sandglasstimer,kid"
5ce173d6ad86aa29d8a1275b,9,6,5,55.6,50.0,60.0,0.0,0.0,55.6,1562025600,New and Old Professional EMS Muscle Training ABS Fitness Muscle Fat Burning Smart Abdominal Trainer,"55a42b1a601ef361853e67d3,53dc186421a86318bdc87f30","buttstimulation,electrichiptrainer,fitnessaccessorie,healthcare,emshipstrainer,fitnesstracker,muscletrainer,muscle,bodyslimming,fitnes,emstraining,em"
